"STATION","NAME","DATE","TMAX"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-06-12","96"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-06-13","94"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-06-14","95"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-06-15","86"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-06-16","85"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-06-17","96"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-06-18","98"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-06-19","89"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-06-20","97"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-06-21","96"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-06-22","95"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-06-23","97"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-06-24","97"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-06-25","97"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-06-26","101"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-06-27","104"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-06-28","104"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-06-29","104"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-06-30","103"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-07-01","91"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-07-02","85"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-07-03","87"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-07-04","92"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-07-05","95"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-07-06","98"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-07-07","98"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-07-08","98"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-07-09","97"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-07-10","98"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-07-11","101"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-07-12","99"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-07-13","101"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-07-14","101"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-07-15","103"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-07-16","69"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-07-17","80"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-07-18","81"
